iter	Passed	Remaining
797	1649	417
798	1652	415
799	1654	413
800	1656	411
801	1658	409
802	1660	407
803	1662	405
804	1664	403
805	1666	401
806	1668	399
807	1670	397
808	1672	394
809	1674	392
810	1676	390
811	1678	388
812	1680	386
813	1682	384
814	1685	382
815	1687	380
816	1689	378
817	1691	376
818	1693	374
819	1695	372
820	1697	370
821	1699	368
822	1701	365
823	1703	363
824	1706	361
825	1708	359
826	1710	357
827	1712	355
828	1714	353
829	1716	351
830	1718	349
831	1720	347
832	1722	345
833	1724	343
834	1727	341
835	1729	339
836	1731	337
837	1733	335
838	1735	333
839	1737	330
840	1739	328
841	1741	326
842	1743	324
843	1745	322
844	1748	320
845	1750	318
846	1752	316
847	1754	314
848	1756	312
849	1758	310
850	1760	308
851	1762	306
852	1764	304
853	1766	302
854	1768	299
855	1771	297
856	1773	295
857	1775	293
858	1777	291
859	1779	289
860	1781	287
861	1783	285
862	1785	283
863	1787	281
864	1789	279
865	1791	277
866	1793	275
867	1795	273
868	1797	271
869	1799	268
870	1802	266
871	1804	264
872	1806	262
873	1808	260
874	1810	258
875	1812	256
876	1814	254
877	1816	252
878	1818	250
879	1820	248
880	1822	246
881	1824	244
882	1826	242
883	1829	240
884	1831	237
885	1833	235
886	1835	233
887	1837	231
888	1839	229
889	1841	227
890	1844	225
891	1846	223
892	1848	221
893	1850	219
894	1854	217
895	1857	215
896	1860	213
897	1862	211
898	1864	209
899	1868	207
900	1872	205
901	1875	203
902	1877	201
903	1880	199
904	1882	197
905	1886	195
906	1890	193
907	1894	191
908	1896	189
909	1899	187
910	1902	185
911	1907	184
912	1910	182
913	1912	179
914	1915	177
915	1920	176
916	1923	174
917	1926	172
918	1928	169
919	1931	167
920	1934	165
921	1939	164
922	1942	162
923	1945	160
924	1948	157
925	1953	156
926	1957	154
927	1960	152
928	1962	149
929	1965	147
930	1970	146
931	1974	144
932	1977	141
933	1979	139
934	1983	137
935	1986	135
936	1991	133
937	1993	131
938	1996	129
939	2000	127
940	2004	125
941	2007	123
942	2010	121
943	2012	119
944	2016	117
945	2021	115
946	2024	113
947	2026	111
948	2030	109
949	2034	107
950	2038	105
951	2041	102
952	2043	100
953	2046	98
954	2050	96
955	2054	94
956	2058	92
957	2060	90
958	2063	88
959	2068	86
960	2071	84
961	2074	81
962	2077	79
963	2081	77
964	2086	75
965	2090	73
966	2092	71
967	2095	69
968	2098	67
969	2102	65
970	2106	62
971	2108	60
972	2111	58
973	2115	56
974	2118	54
975	2122	52
976	2124	50
977	2126	47
978	2129	45
979	2133	43
980	2135	41
981	2138	39
982	2140	37
983	2142	34
984	2145	32
985	2147	30
986	2149	28
987	2151	26
988	2153	23
989	2156	21
990	2158	19
991	2160	17
992	2162	15
993	2164	13
994	2166	10
995	2168	8
996	2170	6
997	2173	4
998	2175	2
999	2177	0
